genes,num_genes,mse
"mstn,bambi,tmt1a,aifm2,osbp2",5,7.90149206474376
"mstn,bambi,tmt1a,pfn2,fyn",5,7.8663565051697795
"mstn,bambi,tmt1a,pfn2,lrrc37a2",5,7.910645011870457
"mstn,bambi,tmt1a,pfn2,osbp2",5,7.926868497850312
"mstn,bambi,tmt1a,fyn,lrrc37a2",5,7.820503209863157
"mstn,bambi,tmt1a,fyn,osbp2",5,7.768754431216406
"mstn,bambi,tmt1a,lrrc37a2,osbp2",5,7.824991287313841
"mstn,bambi,sfmbt1,fcrl6,aifm2",5,7.796194872201734
"mstn,bambi,sfmbt1,fcrl6,pfn2",5,7.866611162880044
"mstn,bambi,sfmbt1,fcrl6,fyn",5,7.837790542777839
"mstn,bambi,sfmbt1,fcrl6,lrrc37a2",5,7.733640821413344
"mstn,bambi,sfmbt1,fcrl6,osbp2",5,7.772877867785756
"mstn,bambi,sfmbt1,aifm2,pfn2",5,7.878208226689972
"mstn,bambi,sfmbt1,aifm2,fyn",5,7.900556174126808
"mstn,bambi,sfmbt1,aifm2,lrrc37a2",5,7.810256118252836
"mstn,bambi,sfmbt1,aifm2,osbp2",5,7.877112495209725
"mstn,bambi,sfmbt1,pfn2,fyn",5,7.941144442305954
"mstn,bambi,sfmbt1,pfn2,lrrc37a2",5,7.8601439789033964
"mstn,bambi,sfmbt1,pfn2,osbp2",5,7.901581786867552
"mstn,bambi,sfmbt1,fyn,lrrc37a2",5,7.891360535567108
"mstn,bambi,sfmbt1,fyn,osbp2",5,7.81765328542265
"mstn,bambi,sfmbt1,lrrc37a2,osbp2",5,7.7989229641903055
"mstn,bambi,fcrl6,aifm2,pfn2",5,7.893988683629519
"mstn,bambi,fcrl6,aifm2,fyn",5,7.812608882573889
"mstn,bambi,fcrl6,aifm2,lrrc37a2",5,7.779723569920743
"mstn,bambi,fcrl6,aifm2,osbp2",5,7.827962501982274
"mstn,bambi,fcrl6,pfn2,fyn",5,7.821535167270386
"mstn,bambi,fcrl6,pfn2,lrrc37a2",5,7.85001625505079
"mstn,bambi,fcrl6,pfn2,osbp2",5,7.865210053768964
"mstn,bambi,fcrl6,fyn,lrrc37a2",5,7.791552460607071
"mstn,bambi,fcrl6,fyn,osbp2",5,7.74191288043319
"mstn,bambi,fcrl6,lrrc37a2,osbp2",5,7.733066325225962
"mstn,bambi,aifm2,pfn2,fyn",5,7.910702972034906
"mstn,bambi,aifm2,pfn2,lrrc37a2",5,7.8887879353308685
"mstn,bambi,aifm2,pfn2,osbp2",5,7.948244438737067
"mstn,bambi,aifm2,fyn,lrrc37a2",5,7.844534534741817
"mstn,bambi,aifm2,fyn,osbp2",5,7.82276387036068
"mstn,bambi,aifm2,lrrc37a2,osbp2",5,7.840948448109106
"mstn,bambi,pfn2,fyn,lrrc37a2",5,7.882068009193854
"mstn,bambi,pfn2,fyn,osbp2",5,7.82482038631563
"mstn,bambi,pfn2,lrrc37a2,osbp2",5,7.861979190302228
"mstn,bambi,fyn,lrrc37a2,osbp2",5,7.785673173831799
"mstn,tmt1a,sfmbt1,fcrl6,aifm2",5,7.807982699311445
"mstn,tmt1a,sfmbt1,fcrl6,pfn2",5,7.902731682000376
"mstn,tmt1a,sfmbt1,fcrl6,fyn",5,7.852570466974615
"mstn,tmt1a,sfmbt1,fcrl6,lrrc37a2",5,7.7593399540268395
"mstn,tmt1a,sfmbt1,fcrl6,osbp2",5,7.801460928148555
"mstn,tmt1a,sfmbt1,aifm2,pfn2",5,7.904208964878634
"mstn,tmt1a,sfmbt1,aifm2,fyn",5,7.8927037880454085
"mstn,tmt1a,sfmbt1,aifm2,lrrc37a2",5,7.817139148285594
"mstn,tmt1a,sfmbt1,aifm2,osbp2",5,7.9035921418872315
"mstn,tmt1a,sfmbt1,pfn2,fyn",5,7.947916483500137
"mstn,tmt1a,sfmbt1,pfn2,lrrc37a2",5,7.870216772097184
"mstn,tmt1a,sfmbt1,pfn2,osbp2",5,7.928525862572176
